electoral_district_id,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,70_and-above,70_and-above_percentage
1,28885,2655,9.2,5799,20.1,5882,20.4,7431,25.7,4043,14,3075,10.6
2,26231,2415,9.2,5317,20.3,6119,23.3,6856,26.1,3506,13.4,2018,7.7
3,28250,3245,11.5,5596,19.8,5496,19.5,7452,26.4,3726,13.2,2735,9.7
4,28147,1829,6.5,5371,19.1,5966,21.2,6068,21.6,3262,11.6,5651,20.1
5,28481,1942,6.8,7412,26,8491,29.8,6806,23.9,2070,7.3,1760,6.2
6,27965,1832,6.6,7402,26.5,8764,31.3,6756,24.2,1800,6.4,1411,5
