reason,berlin_total,berlin_male_diverse,berlin_female,berlin_east_total,berlin_east_male_diverse,berlin_east_female,berlin_west_total,berlin_west_male_diverse,berlin_west_female
18 bis unter 25,-1.27168152587778,-0.9685355040597706,-1.4746010945132995,-0.15906510540124952,0.6621693335904864,-1.0285416451034746,-1.7662262667126463,-1.837341610641003,-1.7008257725812739
25 bis unter 35,-1.1992317031719866,-1.24162908101259,-1.15083746622604,-1.515872107346033,-1.4194022597636118,-1.6130004827683175,-1.0236753950789834,-1.1357944258104593,-0.9074623200808494
35 bis unter 45,-0.7786952631826386,-1.0340794886722207,-0.6299086671034881,-0.6132629281670609,-0.895929426565645,-0.43743802119852127,-0.9424106456770055,-1.1714243241672497,-0.7195006495775259
45 bis unter 60,-0.74432344899471,-0.7232036999849291,-0.7666610216918639,-0.6125612563300968,-0.42690853060944334,-0.8018262416037629,-0.7875960486988064,-0.9075588681204545,-0.6810323388688626
60 bis unter 70,-0.7955253803438803,-0.8296458421624522,-0.8569072423792352,-0.7455153901023351,-0.3198052550904552,-1.1515906186441018,-0.8600715072557146,-1.2061587668719147,-0.7165084777370168
70 und älter,-0.764119408800741,-0.9770628127298833,-0.5258830133911785,-0.7403984844841858,-0.602756350245023,-0.8679999021125477,-0.7355936295063576,-1.242003873389592,-0.3416677523490703
