age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,70.1494782781234,61.32286659139419,79.18489153163542,58.4,55.9,60.6,11.749478278123398,5.42286659139419,18.584891531635414
21 bis unter 25,52.168592512945786,48.91332195729643,55.36269932120299,54.2,52.8,55.5,-2.031407487054217,-3.886678042703565,-0.13730067879701124
25 bis unter 30,55.713190757779536,58.79846443298707,52.900011472463255,59.5,57.0,61.8,-3.786809242220464,1.7984644329870676,-8.899988527536742
30 bis unter 35,57.043255165952395,57.08735328327986,56.99553338717324,64.9,62.5,67.3,-7.8567448340476105,-5.41264671672014,-10.304466612826758
35 bis unter 40,60.81789543954175,61.89300755497822,59.77079225697235,65.9,63.9,68.0,-5.082104560458255,-2.0069924450217798,-8.22920774302765
40 bis unter 45,68.48040896106978,69.37536422460755,67.53484817139856,68.8,65.9,71.8,-0.3195910389302128,3.475364224607546,-4.265151828601432
45 bis unter 50,78.1547113632406,78.50774070992645,77.82529504469807,72.3,70.7,74.0,5.854711363240597,7.807740709926449,3.8252950446980662
50 bis unter 60,73.72140476823645,75.51661482095281,72.02814920705868,72.4,71.0,73.8,1.321404768236448,4.51661482095281,-1.771850792941322
60 bis unter 70,65.68976117360603,66.31291331862036,65.09414365825512,74.1,73.7,74.4,-8.410238826393964,-7.3870866813796425,-9.305856341744885
70 und älter,54.454653843880514,61.57177529211555,49.69196529120126,71.7,75.7,69.1,-17.24534615611949,-14.128224707884456,-19.408034708798738
Insgesamt,62.80374985018612,65.08118280798888,60.781959909606584,68.8,68.1,69.5,-5.996250149813875,-3.018817192011113,-8.718040090393416
