feature,year_1990,year_1995,year_1999,year_2001,year_2006,year_2011,year_2016,year_2021,year_2023
Gültige Zweitstimmen,x,-17.3,-6.3,3.8,-15.2,6.1,11.9,11.4,-7.2
SPD,x,-36,-11.1,37.8,-12,-2.5,-14.7,10.8,-20.8
CDU,x,-23.3,2,-39.5,-23.8,16,-15.6,14.1,48.7
GRÜNE ¹,x,16.6,-29.4,-4.7,22.2,42.1,-3.4,38.5,12.3
DIE LINKE ²,x,32.1,13.4,32.3,-49.4,-7.6,49.5,0.1,-27.6
AfD,x,x,x,x,x,x,x,-37.1,-40.4
FDP,x,-70.4,-19.1,369.5,-35,-74.2,306.4,18.9,-35.7
PIRATEN,x,x,x,x,x,x,-78.2,-73.7,-81.8
Sonstige,x,97.5,-23.8,-26.8,134.2,-35.6,-0.1,80.8,8.8
