electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,55798,18461,33.1,11.1,37337,2782,7.5,4320,11.6,27662,74.1,2573,6.9
2,59494,20873,35.1,9.7,38621,2300,6,3387,8.8,25755,66.7,7179,18.6
3,53348,17799,33.4,10.7,35549,2083,5.9,3504,9.9,24898,70,5064,14.2
4,54517,19562,35.9,12.1,34955,2288,6.5,3521,10.1,26365,75.4,2781,8
5,49497,16196,32.7,11.2,33301,2153,6.5,3388,10.2,22481,67.5,5279,15.9
6,59910,25249,42.1,13.9,34661,2715,7.8,5027,14.5,24113,69.6,2806,8.1
7,59267,22403,37.8,10.2,36864,3060,8.3,5417,14.7,25271,68.6,3116,8.5
