feature,year_1990,year_1995,year_1999,year_2001,year_2006,year_2011,year_2016,year_2021,year_2023
Wahlberechtigte,959753,967634,963869,980013,1012351,1034507,1038373,1027208,1021693
Wählende,731023,619933,602689,631025,544933,598114,691494,776764,643973
Briefwählende,29105,65134,98815,90024,118566,151957,186731,359307,278606
Wahllokalwählende,701918,554799,503874,541001,426367,446157,504763,417457,365367
