age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,68.17424296055638,63.491822453646456,73.11379060512901,57.7,55.5,59.7,10.474242960556381,7.991822453646456,13.413790605129009
21 bis unter 25,58.10168933050288,59.40829348303196,56.83479384252243,53.2,53.1,53.2,4.901689330502876,6.30829348303196,3.634793842522427
25 bis unter 30,51.503898878960484,49.41574586106773,53.34706235854868,60.8,58.5,63.1,-9.296101121039513,-9.084254138932273,-9.752937641451318
30 bis unter 35,55.83495723314927,55.68742265320159,55.973277230547026,64.3,62.8,65.8,-8.465042766850729,-7.11257734679841,-9.82672276945297
35 bis unter 40,59.83399728383477,60.64490388385901,59.00073934422884,66.8,65.4,68.2,-6.966002716165228,-4.755096116140997,-9.199260655771162
40 bis unter 45,65.70015449481869,66.35196242711419,65.04000463436118,71.5,69.7,73.2,-5.79984550518131,-3.348037572885815,-8.15999536563882
45 bis unter 50,72.81469745947587,72.29505249308458,73.35977959205415,72.7,71.7,73.9,0.11469745947586318,0.5950524930845802,-0.5402204079458528
50 bis unter 60,69.04135897105361,70.66558923902436,67.31368785616803,70.7,70.0,71.5,-1.6586410289463913,0.6655892390243565,-4.1863121438319695
60 bis unter 70,65.31962610183496,68.03030942301358,62.75086829435188,72.5,73.0,72.0,-7.180373898165044,-4.969690576986423,-9.249131705648118
70 und älter,58.682915429688535,61.7913908330593,56.4126031798984,67.8,72.8,64.3,-9.117084570311462,-11.008609166940694,-7.8873968201016
Insgesamt,63.02999041786525,64.46518484004827,61.68174708232886,68.0,68.2,67.8,-4.97000958213475,-3.7348151599517365,-6.1182529176711355
