electoral_district_id,below_65,residents_in_sgb_II_communities_of_need,residents_in_sgb_II_communities_of_need_percentage
2,47944,4724,9.9
3,43870,6081,13.9
4,47852,9713,20.3
5,40331,9882,24.5
6,53332,17789,33.4
7,52334,14776,28.2
Insgesamt,336159,65910,19.6
