party,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf,list_mandates,total
SPD,2,2,4,3,2,4,4,3,3,2,2,3,x,34.0
CDU,2,2,4,6,5,7,5,3,4,4,4,6,x,52.0
GRÜNE,5,5,5,1,0,0,2,2,0,0,0,0,14,34.0
DIE LINKE,0,1,0,0,0,0,0,0,1,0,2,0,18,22.0
AfD,0,0,0,0,0,0,0,0,0,2,0,0,15,17.0
