electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1.0,23415.0,"Brockhausen, Uwe"
SPD,2.0,11707.5,"Budweg, Angela"
SPD,3.0,7805.0,"Walk, Gerald"
SPD,4.0,5853.75,"Boyraci, Sevda"
SPD,5.0,4683.0,"Ewers, Alexander"
SPD,6.0,3902.5,"Käber, Marco"
SPD,7.0,3345.0,"Hiller-Ewers, Karin"
SPD,8.0,2926.875,"Rudloff, Sascha"
SPD,9.0,2601.667,"Borkenhagen, Nicole"
SPD,10.0,2341.5,"Valentin, Stefan"
SPD,11.0,2128.636,"Hawlitschka, Björn"
SPD,12.0,1951.25,"Dr. Böcker-Giannini, Nicola"
SPD,13.0,1801.154,"Collé, Gilbert"
nan,nan,nan,nan
CDU,1.0,44185.0,"Dr. Wegner, Michael"
CDU,2.0,22092.5,"Köppen, Kerstin"
CDU,3.0,14728.333,"Schulz, Marvin"
CDU,4.0,11046.25,"Klon, Tomasz"
CDU,5.0,8837.0,"Schmidt, Sylvia"
CDU,6.0,7364.167,"Graßelt, Niklas"
CDU,7.0,6312.143,"Schönebeck, Felix"
CDU,8.0,5523.125,"Trappe, Detlef"
CDU,9.0,4909.444,"Windisch, Michael"
CDU,10.0,4418.5,"Skrobek-Angerer, Claudia"
CDU,11.0,4016.818,"Schrod-Thiel, Julia"
CDU,12.0,3682.083,"Muschner, Harald"
CDU,13.0,3398.846,"Raeder, Norbert"
CDU,14.0,3156.071,"Radecker, Julian"
CDU,15.0,2945.667,"Weser, Lorenz"
CDU,16.0,2761.563,"Krolo, Matea"
CDU,17.0,2599.118,"Stelzer, Martin"
CDU,18.0,2454.722,"Bubert, Lisa"
CDU,19.0,2325.526,"Selski, Lilli"
CDU,20.0,2209.25,"Droske, Klaudyna"
CDU,21.0,2104.048,"Marten, Hans-Peter"
CDU,22.0,2008.409,"Ott, Hans-Peter"
CDU,23.0,1921.087,"Gamp, Richard"
CDU,24.0,1841.042,"Fritz, Anne Kathrin"
CDU,25.0,1767.4,"Kühne-Sironski, Ute"
nan,nan,nan,nan
GRÜNE,1.0,13744.0,"Keskin, Güneș"
GRÜNE,2.0,6872.0,"Westerkamp, Hinrich"
GRÜNE,3.0,4581.333,"von Pressentin, Milena"
GRÜNE,4.0,3436.0,"Rietz, Andreas"
GRÜNE,5.0,2748.8,"Klünder, Elke"
GRÜNE,6.0,2290.667,"Schmidt, Bogusz"
GRÜNE,7.0,1963.429,"Behnke, Andrea Gabriele"
nan,nan,nan,nan
DIE LINKE,1.0,4653.0,"Lederle, Felix"
DIE LINKE,2.0,2326.5,"Bartosch, Kai"
nan,nan,nan,nan
AfD,1.0,10810.0,"Maack, Sebastian"
AfD,2.0,5405.0,"Wiedenhaupt, Rolf"
AfD,3.0,3603.333,"Mirzo, Laila"
AfD,4.0,2702.5,"Adrian, Sven"
AfD,5.0,2162.0,"Fink, Hans-Jürgen"
AfD,6.0,1801.667,"Hoffmann, Arnim"
nan,nan,nan,nan
FDP,1.0,4681.0,"Jahn, David Nicolas"
FDP,2.0,2340.5,"Otto, Andreas"
