feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,241476,x,x,251212,x,x
Wählende,147801,61.2,x,158193,63,x
darunter Briefwählende,68581,46.4,x,50588,32,x
Abgegebene Stimmen,147801,x,x,158193,x,x
Mindeststimmen (3%),4435,3,x,4746,3,x
Ungültige Stimmen,889,0.6,x,1703,1.1,x
Gültige Stimmen,146912,99.4,x,156490,98.9,x
SPD,29137,19.8,12,39317,25.1,15
CDU,45072,30.7,18,33841,21.6,13
GRÜNE,35090,23.9,14,30982,19.8,12
DIE LINKE,10162,6.9,4,12312,7.9,4
AfD,7510,5.1,3,15226,9.7,5
FDP,9815,6.7,4,16193,10.3,6
Die PARTEI,1900,1.3,0,2453,1.6,x
Tierschutzpartei,2990,2,0,x,x,x
PIRATEN,463,0.3,0,2541,1.6,x
LKR,68,0,0,x,x,x
ÖDP,179,0.1,0,x,x,x
dieBasis,958,0.7,0,x,x,x
FREIE WÄHLER,390,0.3,0,x,x,x
Klimaliste Berlin,448,0.3,0,x,x,x
Die Humanisten,328,0.2,0,x,x,x
Volt,2095,1.4,0,x,x,x
WsB,307,0.2,0,x,x,x
Übrige,x,x,x,3625,2.3,x
