country,total,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf
Belgien,2049,395,351,277,186,40,104,174,250,103,24,77,68
Bulgarien,25833,5702,1756,1402,1508,2739,828,1822,3060,1226,1188,1984,2618
Dänemark,2682,477,532,447,289,50,128,207,356,49,21,61,65
Estland,795,133,90,86,106,39,57,65,59,33,54,32,41
Finnland,1985,356,299,306,268,59,124,168,179,99,12,78,37
Frankreich,18188,3432,3547,2420,1902,296,864,1508,2165,542,102,641,769
Griechenland,13064,2412,1413,992,1470,525,1098,1644,1440,407,316,564,783
Irland,4014,713,929,544,350,46,160,262,651,118,27,143,71
Italien,30393,5187,5131,3801,3111,1069,1590,2757,3564,1088,358,1307,1430
Kroatien,12917,1729,900,568,1602,1277,1209,2057,1416,355,241,496,1067
Lettland,3206,437,211,241,390,265,180,243,170,167,409,352,141
Litauen,2871,450,253,271,353,196,164,226,187,155,222,209,185
Luxemburg,902,208,173,127,104,15,41,62,77,41,9,33,12
Malta,134,18,28,15,21,3,6,6,18,3,0,10,6
Niederlande,6436,1170,1149,861,664,184,414,571,680,252,60,218,213
Österreich,11235,1889,1601,1500,1373,382,948,1056,1107,429,145,368,437
Polen,48945,6422,2707,3063,4950,5711,3486,4812,5051,2490,2598,3322,4333
Portugal,5448,971,757,696,463,162,231,367,524,221,262,505,289
Rumänien,20768,2794,1028,1344,1759,1973,885,1505,1985,1400,2904,1953,1238
Schweden,3811,647,679,498,359,79,207,286,607,128,46,152,123
Slowakei,1388,210,167,181,138,82,92,102,95,93,60,111,57
Slowenien,1425,266,173,139,144,116,93,112,150,55,22,62,93
Spanien,14336,2854,2729,1948,1303,382,643,1017,1542,603,176,710,429
Tschechische Republik 1,2370,383,225,276,288,112,147,179,215,192,88,164,101
Ungarn,5944,919,549,659,559,376,371,401,446,374,422,495,373
Zypern,398,81,61,46,50,4,32,37,39,19,3,17,9
Land Berlin,241537,40255,27438,22708,23710,16182,14102,21646,26033,10642,9769,14064,14988
