electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1.0,29137.0,"Schmitt-Schmelz, Heike"
SPD,2.0,14568.5,"Sempf, Alexander"
SPD,3.0,9712.333,"Hansen, Annegret"
SPD,4.0,7284.25,"Tillinger, Wolfgang"
SPD,5.0,5827.4,"Dr. Buß, Claudia"
SPD,6.0,4856.167,"Kaufmann, Nicola"
SPD,7.0,4162.429,"Dr. Biewener, Ann-Kathrin"
SPD,8.0,3642.125,"Dr. Murach, Jürgen"
SPD,9.0,3237.444,"Röder, Constanze"
SPD,10.0,2913.7,"Sarić, Timur"
SPD,11.0,2648.818,"Spielberg, Claudia"
SPD,12.0,2428.083,"Wuttig, Holger"
nan,nan,nan,nan
CDU,1.0,45072.0,"Stückler, Judith"
CDU,2.0,22536.0,"Wagner, Detlef"
CDU,3.0,15024.0,"Hartmann, Reinhold"
CDU,4.0,11268.0,"Kollotschek, Cordula"
CDU,5.0,9014.4,"Schmidt-Statzkowski, Christine"
CDU,6.0,7512.0,"Sell, Karsten"
CDU,7.0,6438.857,"Zucker, Konstanze"
CDU,8.0,5634.0,"Häntsch, Stefan"
CDU,9.0,5008.0,"Brzezinski, Christoph"
CDU,10.0,4507.2,"Fenske, Hans-Joachim"
CDU,11.0,4097.455,"Pönack, Alexander"
CDU,12.0,3756.0,"Zels, Susanne"
CDU,13.0,3467.077,"Sandvoß, Manuel"
CDU,14.0,3219.429,"Sommer, Francisco"
CDU,15.0,3004.8,"Hertel, Simon"
CDU,16.0,2817.0,"Wothe, Maurice"
CDU,17.0,2651.294,"Schöne, Ralph"
CDU,18.0,2504.0,"Preun-Specht, Anna"
nan,nan,nan,nan
GRÜNE,1.0,35090.0,"Bauch, Kirstin"
GRÜNE,2.0,17545.0,"Schruoffeneger, Oliver"
GRÜNE,3.0,11696.667,"Kempf, Dagmar"
GRÜNE,4.0,8772.5,"Weise, Sebastian"
GRÜNE,5.0,7018.0,"Drews, Susan"
GRÜNE,6.0,5848.333,"Gusy, Ansgar"
GRÜNE,7.0,5012.857,"Centgraf, Sibylle"
GRÜNE,8.0,4386.25,"Kaas Elias, Alexander"
GRÜNE,9.0,3898.889,"Wiemann, Alissa"
GRÜNE,10.0,3509.0,"Chen, Jun"
GRÜNE,11.0,3190.0,"Balkow, Corinna"
GRÜNE,12.0,2924.167,"Taschenberger, Sascha"
GRÜNE,13.0,2699.231,"Hüneke, Heike"
GRÜNE,14.0,2506.429,"Nebel, Herbert"
nan,nan,nan,nan
DIE LINKE,1.0,10162.0,"Juckel, Annetta"
DIE LINKE,2.0,5081.0,"Schenker, Niklas"
DIE LINKE,3.0,3387.333,"Gronde-Brunner, Frederike-Sophie"
DIE LINKE,4.0,2540.5,"Deißler, Rüdiger"
nan,nan,nan,nan
AfD,1.0,7510.0,"Dr. Seyfert, Michael"
AfD,2.0,3755.0,"Kadow, Gregor"
AfD,3.0,2503.333,"Kohler, Martin Christian Thomas"
nan,nan,nan,nan
FDP,1.0,9815.0,"Beckers, Stefanie"
FDP,2.0,4907.5,"Recke-Friedrich, Felix-Maximilian"
FDP,3.0,3271.667,"Heyne, Johannes"
FDP,4.0,2453.75,"Schuchert, Christian"
