electoral_district_id,below_65,residents_in_sgb_II_communities_of_need,residents_in_sgb_II_communities_of_need_percentage
2,42465,7622.0,17.9
3,47037,11975.0,25.5
4,37584,4840.0,12.9
5,43319,4367.0,10.1
6,43765,3709.0,8.5
Insgesamt,258815,39913.0,15.4
