party,basic_mandates,direct_mandates_total,direct_mandates_overhang,mandates_including_overhang,list_mandates
Mitte,2,0,0,2,2
Friedrichshain-Kreuzberg,2,0,0,2,2
Pankow,3,1,0,3,2
Charlottenburg-Wilmersdorf,3,0,0,3,3
Spandau,2,0,0,2,2
Steglitz-Zehlendorf,3,0,0,3,3
Tempelhof-Schöneberg,3,1,0,3,2
Neukölln,2,1,0,2,1
Treptow-Köpenick,2,1,0,2,1
Marzahn-Hellersdorf,2,0,0,2,2
Lichtenberg,2,0,0,2,2
Reinickendorf,2,0,0,2,2
