electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,46325,7498,16.2,4.5,38827,2257,5.8,5105,13.1,26535,68.3,4930,12.7
2,47066,8264,17.6,4,38802,1836,4.7,3852,9.9,23953,61.7,9161,23.6
3,53679,12267,22.9,7.4,41412,2878,6.9,5177,12.5,28850,69.7,4507,10.9
4,47673,6277,13.2,3.1,41396,2240,5.4,4231,10.2,26038,62.9,8887,21.5
5,42660,2080,4.9,1.3,40580,2171,5.3,4738,11.7,26520,65.4,7151,17.6
6,44163,6486,14.7,4.4,37677,2250,6,4445,11.8,25549,67.8,5433,14.4
