feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,197730,x,x,200372,x,x
Wählende,114382,57.8,x,124560,62.2,x
darunter Briefwählende,46017,40.2,x,34147,27.4,x
Abgegebene Stimmen,114382,x,x,124560,x,x
Mindeststimmen (3%),3432,3,x,3737,3,x
Ungültige Stimmen,601,0.5,x,1275,1,x
Gültige Stimmen,113781,99.5,x,123285,99,x
SPD,15427,13.6,8,21241,17.2,10
CDU,15074,13.2,8,9546,7.7,4
GRÜNE,39448,34.7,21,40368,32.7,20
DIE LINKE,23266,20.4,12,25639,20.8,12
AfD,3995,3.5,2,7613,6.2,3
FDP,3765,3.3,2,3974,3.2,2
Die PARTEI,3831,3.4,2,5723,4.6,2
Tierschutzpartei,2770,2.4,0,x,x,x
B*,611,0.5,0,x,x,x
ÖDP,154,0.1,0,467,0.4,x
dieBasis,829,0.7,0,x,x,x
Klimaliste Berlin,1798,1.6,0,x,x,x
Die Humanisten,364,0.3,0,x,x,x
Volt,2086,1.8,0,x,x,x
WsB Friedrichshain-Kreuzberg,220,0.2,0,x,x,x
olf,143,0.1,0,x,x,x
Übrige,x,x,x,8714,7.1,x
