electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,28949,22586,78,22366,16.9,8.3,36.3,19.2,2.2,5,12.2
2,26216,20490,78.2,20132,12.9,5.1,37.3,26.4,1.9,3.3,13.1
3,28169,20305,72.1,20086,17.5,7.7,30.9,22.7,2.7,3.6,14.8
4,28218,21931,77.7,21739,18.2,10.3,21.7,25.3,5.8,5.7,12.8
5,28663,23568,82.2,23395,12.9,6.7,32.5,25.4,3.3,4.8,14.5
6,27887,23555,84.5,23372,12.3,7.1,35.2,23.1,2.9,5.9,13.5
