district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
Mitte,204769,128151.0,62,126106.0,21.5,13.5,21.3,17.6,9.9,6.6,9.5
Friedrichshain-Kreuzberg,170908,117022.0,68,115605.0,18.2,7.8,28.4,23.4,6.4,3.9,11.9
Pankow,285240,199403.0,69,196521.0,20.1,12.6,17.9,21.5,13.8,4.4,9.7
Charlottenburg-Wilmersdorf,217586,152279.0,70,150208.0,22.8,20.3,18.5,9.3,10.3,12.3,6.5
Spandau,162760,103431.0,63,101145.0,27.4,24.6,8.7,6.6,16.6,7.6,8.5
Steglitz-Zehlendorf,218473,162844.0,74,160803.0,21.6,25.5,16.8,6.9,11.0,11.8,6.3
Tempelhof-Schöneberg,233874,161154.0,68,158582.0,24.9,19.9,18.7,9.7,11.4,7.9,7.6
Neukölln,202453,128007.0,63,125446.0,23.3,17.8,16.2,13.6,13.8,5.7,9.6
Treptow-Köpenick,202428,137914.0,68,135575.0,20.4,12.9,9.1,22.6,20.5,4.1,10.5
Marzahn-Hellersdorf,200519,122207.0,60,119889.0,17.0,17.3,4.5,23.5,23.6,2.8,11.3
Lichtenberg,204711,128693.0,62,126377.0,19.7,12.0,7.7,26.9,19.0,2.9,11.6
Reinickendorf,181658,121371.0,66,118912.0,22.0,28.0,10.6,6.1,16.1,8.8,8.4
