feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,254717,x,x,260657,x,x
Wählende,154563,60.7,x,167000,64.1,x
darunter Briefwählende,72330,46.8,x,52593,31.5,x
Abgegebene Stimmen,154563,x,x,167000,x,x
Mindeststimmen (3%),4637,3,x,5010,3,x
Ungültige Stimmen,1115,0.7,x,2300,1.4,x
Gültige Stimmen,153448,99.3,x,164700,98.6,x
SPD,30302,19.7,12,40654,24.7,15
CDU,47221,30.8,19,34776,21.1,12
GRÜNE,36450,23.8,14,36124,21.9,13
DIE LINKE,12187,7.9,5,14359,8.7,5
AfD,9588,6.2,3,18224,11.1,6
FDP,6310,4.1,2,11132,6.8,4
Die PARTEI,2078,1.4,0,2787,1.7,x
Tierschutzpartei,3902,2.5,0,x,x,x
PIRATEN,741,0.5,0,3350,2,x
ÖDP,235,0.2,0,x,x,x
dieBasis,930,0.6,0,x,x,x
FREIE WÄHLER,561,0.4,0,x,x,x
Klimaliste Berlin,910,0.6,0,x,x,x
LD,77,0.1,0,x,x,x
Volt,1956,1.3,0,x,x,x
Übrige,x,x,x,3294,2,x
