electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,35700,27211,76.2,26866,18.7,9.8,20.6,23.1,8.5,4.8,14.5
2,35474,26486,74.7,26203,24,11.6,12.7,19.1,11.5,5.9,15.3
3,35385,26680,75.4,26363,21.7,16.7,9.8,14.8,14.9,7.3,14.7
4,35773,27865,77.9,27569,21.4,15.8,12.1,17.3,12,7.9,13.5
5,29814,22667,76,22342,23.1,15,8.5,17.9,14.6,7,13.9
6,33802,27240,80.6,26921,21.2,16.5,13.5,19.6,10.4,6.8,11.8
