electoral_district_id,below_65,residents_in_sgb_II_communities_of_need,residents_in_sgb_II_communities_of_need_percentage
1,52180,10957.0,21.0
2,55319,13162.0,23.8
3,55747,18021.0,32.3
4,35474,8374.0,23.6
5,35592,5851.0,16.4
6,35371,5222.0,14.8
