electoral_district_id,below_65,residents_in_sgb_II_communities_of_need,residents_in_sgb_II_communities_of_need_percentage
2,36024,2279,6.3
3,38520,2928,7.6
4,30258,2832,9.4
5,35521,2984,8.4
6,46892,3094,6.6
7,39159,3136,8
8,44436,2556,5.8
9,42298,4916,11.6
Insgesamt,351453,29192,8.3
