electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,34944,17424,49.9,2584,7.4,576,1.6
2,34023,16869,49.6,2537,7.5,578,1.7
3,36198,18562,51.3,1876,5.2,892,2.5
4,31339,15783,50.4,1814,5.8,643,2.1
5,32322,16538,51.2,1947,6,589,1.8
6,33899,17632,52,1745,5.1,851,2.5
7,32137,16188,50.4,1599,5,817,2.5
