age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5.8,3.7,4.9,6.7,8.6,3.6,4.8,11.4
25 bis unter 35,16.5,12.1,14,18.8,23.6,12.6,12.8,27.1
35 bis unter 45,14.7,13.1,12.6,13.3,21.1,14.5,12.9,18.6
45 bis unter 60,26.6,24.7,24.2,25.1,29.7,34.9,26.4,27.3
60 bis unter 70,14.5,15,15.8,16.3,10.3,17.2,15.6,8.6
70 und älter,21.9,31.4,28.5,19.8,6.7,17.2,27.5,7
Insgesamt,100,100,100,100,100,100,100,100
