age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6,4.1,6,6.1,7.6,3.3,7.3,12.9
25 bis unter 35,16.5,12.4,14.2,19.5,21.6,11.7,15.5,31.2
35 bis unter 45,16.1,14.6,14.1,16.1,21.3,14.7,15.3,22
45 bis unter 60,29.5,28.4,26.4,26.1,33.4,38.8,28.8,23.7
60 bis unter 70,14,14.2,15.3,15.7,10,16.5,13.2,6.7
70 und älter,17.9,26.3,24,16.6,6.1,14.9,19.9,3.5
Insgesamt,100,100,100,100,100,100,100,100
