age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,-0.5,-0.2,-0.8,0.2,1.1,-0.4,-0.9,-0.8,-1.1
25 bis unter 35,-0.4,-0.2,-0.6,-0.4,-0.3,-0.5,-0.4,-0.1,-0.6
35 bis unter 45,-0.5,-0.5,-0.3,-0.5,-0.7,-0.3,-0.4,-0.4,-0.4
45 bis unter 60,-0.4,-0.4,-0.3,-0.6,-0.6,-0.7,-0.3,-0.4,-0.2
60 bis unter 70 ,-0.1,-0.2,0.1,0.1,0.0,0.1,-0.1,-0.3,-0.1
70 und älter ,-0.1,-0.4,0.1,0.1,0.0,0.3,-0.3,-0.7,0.0
Insgesamt,-0.3,-0.4,-0.3,-0.3,-0.3,-0.2,-0.3,-0.4,-0.3
