feature,year_1990,year_1994,year_1998,year_2002
Wahlberechtigte,2537310,2505857,2442929,2442795
Wählende,2043894,1970458,1980517,1896316
Briefwählende,190150,287920,385268,447549
Wahllokalwählende,1853744,1682538,1595249,1448767
Wahlberechtigte,x,-1.2,-2.5,0
Wählende,x,-3.6,0.5,-4.3
Briefwählende,x,51.4,33.8,16.2
Wahllokalwählende,x,-9.2,-5.2,-9.2
Wahlberechtigte,100,98.8,96.3,96.3
Wählende,100,96.4,96.9,92.8
Briefwählende,100,151.4,202.6,235.4
Wahllokalwählende,100,90.8,86.1,78.2
Wahlberechtigte,x,x,x,x
Wählende,80.6,78.6,81.1,77.6
Briefwählende²,9.3,14.6,19.5,23.6
Wahllokalwählende²,90.7,85.4,80.5,76.4
