address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_cdu,party_cdu_percentage,party_spd,party_spd_percentage,party_die_linke,party_die_linke_percentage,party_grüne,party_grüne_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
01B1A,01,Mitte,1A,B,011A,O,1,75,0,1436,16,1420,439,30.9,272,19.2,190,13.4,260,18.3,48,3.4,116,8.2,95,6.7
01B1B,01,Mitte,1B,B,011B,O,1,75,0,1177,11,1166,344,29.5,224,19.2,195,16.7,215,18.4,37,3.2,92,7.9,59,5.1
01B1C,01,Mitte,1C,B,011C,O,1,75,0,982,13,969,258,26.6,199,20.5,129,13.3,250,25.8,22,2.3,68,7.0,43,4.4
01B1D,01,Mitte,1D,B,011D,O,1,75,0,1490,10,1480,378,25.5,316,21.4,191,12.9,393,26.6,34,2.3,101,6.8,67,4.5
01B1E,01,Mitte,1E,B,011E,O,1,75,0,1698,7,1691,413,24.4,355,21.0,187,11.1,456,27.0,46,2.7,144,8.5,90,5.3
01B2A,01,Mitte,2A,B,012A,O,2,75,0,1566,8,1558,472,30.3,313,20.1,390,25.0,130,8.3,69,4.4,132,8.5,52,3.3
01B2B,01,Mitte,2B,B,012B,O,2,75,0,1432,12,1420,326,23.0,282,19.9,391,27.5,224,15.8,44,3.1,87,6.1,66,4.6
01B2C,01,Mitte,2C,B,012C,O,2,75,0,1501,10,1491,342,22.9,298,20.0,383,25.7,256,17.2,45,3.0,93,6.2,74,5.0
01B2D,01,Mitte,2D,B,012D,O,2,75,0,1151,2,1149,225,19.6,225,19.6,510,44.4,79,6.9,37,3.2,18,1.6,55,4.8
01B2E,01,Mitte,2E,B,012E,O,2,75,0,1021,11,1010,231,22.9,181,17.9,374,37.0,94,9.3,35,3.5,48,4.8,47,4.7
01B2F,01,Mitte,2F,B,012F,O,2,75,0,1266,10,1256,285,22.7,263,20.9,385,30.7,161,12.8,38,3.0,47,3.7,77,6.1
01B3A,01,Mitte,3A,B,013A,W,3,75,0,991,6,985,213,21.6,268,27.2,115,11.7,235,23.9,37,3.8,41,4.2,76,7.7
01B3B,01,Mitte,3B,B,013B,W,3,75,0,1417,13,1404,344,24.5,365,26.0,143,10.2,348,24.8,65,4.6,67,4.8,72,5.1
01B3C,01,Mitte,3C,B,013C,W,3,75,0,1092,11,1081,283,26.2,277,25.6,110,10.2,248,22.9,46,4.3,49,4.5,68,6.3
01B3D,01,Mitte,3D,B,013D,W,3,75,0,1197,17,1180,386,32.7,280,23.7,115,9.7,212,18.0,51,4.3,79,6.7,57,4.8
01B3E,01,Mitte,3E,B,013E,W,3,75,0,1310,13,1297,394,30.4,309,23.8,136,10.5,238,18.4,53,4.1,92,7.1,75,5.8
01B3F,01,Mitte,3F,B,013F,W,3,75,0,792,7,785,242,30.8,182,23.2,79,10.1,137,17.5,33,4.2,68,8.7,44,5.6
01B4A,01,Mitte,4A,B,014A,W,4,75,0,967,15,952,195,20.5,243,25.5,132,13.9,227,23.8,23,2.4,28,2.9,104,10.9
01B4B,01,Mitte,4B,B,014B,W,4,75,0,1120,13,1107,219,19.8,276,24.9,134,12.1,324,29.3,25,2.3,35,3.2,94,8.5
01B4C,01,Mitte,4C,B,014C,W,4,75,0,1088,8,1080,226,20.9,268,24.8,131,12.1,283,26.2,37,3.4,42,3.9,93,8.6
01B4D,01,Mitte,4D,B,014D,W,4,75,0,970,6,964,246,25.5,248,25.7,117,12.1,199,20.6,40,4.1,38,3.9,76,7.9
01B4E,01,Mitte,4E,B,014E,W,4,75,0,1296,9,1287,259,20.1,331,25.7,175,13.6,304,23.6,45,3.5,49,3.8,124,9.6
01B5A,01,Mitte,5A,B,015A,W,5,75,0,933,10,923,286,31.0,261,28.3,106,11.5,115,12.5,40,4.3,35,3.8,80,8.7
01B5B,01,Mitte,5B,B,015B,W,5,75,0,818,16,802,252,31.4,239,29.8,88,11.0,94,11.7,34,4.2,34,4.2,61,7.6
01B5C,01,Mitte,5C,B,015C,W,5,75,0,1069,16,1053,314,29.8,294,27.9,127,12.1,147,14.0,42,4.0,40,3.8,89,8.5
01B5D,01,Mitte,5D,B,015D,W,5,75,0,1067,23,1044,257,24.6,251,24.0,160,15.3,213,20.4,29,2.8,37,3.5,97,9.3
01B5E,01,Mitte,5E,B,015E,W,5,75,0,701,8,693,180,26.0,172,24.8,89,12.8,146,21.1,20,2.9,24,3.5,62,8.9
01B6A,01,Mitte,6A,B,016A,W,6,75,0,715,14,701,155,22.1,190,27.1,113,16.1,127,18.1,23,3.3,16,2.3,77,11.0
01B6B,01,Mitte,6B,B,016B,W,6,75,0,716,14,702,152,21.7,160,22.8,124,17.7,146,20.8,24,3.4,23,3.3,73,10.4
01B6C,01,Mitte,6C,B,016C,W,6,75,0,1007,19,988,228,23.1,239,24.2,159,16.1,206,20.9,26,2.6,27,2.7,103,10.4
01B6D,01,Mitte,6D,B,016D,W,6,75,0,665,15,650,142,21.8,162,24.9,104,16.0,149,22.9,11,1.7,9,1.4,73,11.2
01B6E,01,Mitte,6E,B,016E,W,6,75,0,830,17,813,190,23.4,197,24.2,126,15.5,175,21.5,20,2.5,21,2.6,84,10.3
01B7A,01,Mitte,7A,B,017A,W,7,75,0,783,12,771,168,21.8,194,25.2,105,13.6,173,22.4,27,3.5,28,3.6,76,9.9
01B7B,01,Mitte,7B,B,017B,W,7,75,0,1010,8,1002,197,19.7,255,25.4,127,12.7,253,25.2,34,3.4,40,4.0,96,9.6
01B7C,01,Mitte,7C,B,017C,W,7,75,0,809,13,796,218,27.4,204,25.6,108,13.6,141,17.7,31,3.9,29,3.6,65,8.2
01B7D,01,Mitte,7D,B,017D,W,7,75,0,739,13,726,188,25.9,208,28.7,108,14.9,118,16.3,27,3.7,25,3.4,52,7.2
01B7E,01,Mitte,7E,B,017E,W,7,75,0,767,14,753,191,25.4,204,27.1,109,14.5,136,18.1,27,3.6,26,3.5,60,8.0
01W100,01,Mitte,100,W,011A,W,1,75,1358,665,17,648,182,28.1,154,23.8,115,17.7,105,16.2,27,4.2,11,1.7,54,8.3
01W101,01,Mitte,101,W,011A,O,1,75,1264,634,9,625,160,25.6,164,26.2,114,18.2,94,15.0,25,4.0,36,5.8,32,5.1
01W102,01,Mitte,102,W,011A,O,1,75,1146,520,2,518,138,26.6,142,27.4,93,18.0,62,12.0,18,3.5,35,6.8,30,5.8
01W103,01,Mitte,103,W,011A,O,1,75,979,476,5,471,98,20.8,104,22.1,85,18.0,93,19.7,18,3.8,33,7.0,40,8.5
01W104,01,Mitte,104,W,011A,O,1,75,1249,601,3,598,163,27.3,134,22.4,79,13.2,125,20.9,23,3.8,47,7.9,27,4.5
01W105,01,Mitte,105,W,011B,O,1,75,1116,587,11,576,101,17.5,141,24.5,118,20.5,116,20.1,29,5.0,29,5.0,42,7.3
01W106,01,Mitte,106,W,011B,O,1,75,1333,649,4,645,205,31.8,148,22.9,87,13.5,95,14.7,34,5.3,45,7.0,31,4.8
01W107,01,Mitte,107,W,011B,O,1,75,1152,647,7,640,120,18.8,131,20.5,137,21.4,147,23.0,15,2.3,51,8.0,39,6.1
01W108,01,Mitte,108,W,011B,O,1,75,976,483,4,479,164,34.2,89,18.6,89,18.6,63,13.2,24,5.0,32,6.7,18,3.8
01W109,01,Mitte,109,W,011C,W,1,75,1154,461,13,448,145,32.4,133,29.7,63,14.1,30,6.7,21,4.7,14,3.1,42,9.4
01W110,01,Mitte,110,W,011C,O,1,75,1629,966,9,957,193,20.2,228,23.8,159,16.6,248,25.9,24,2.5,54,5.6,51,5.3
01W111,01,Mitte,111,W,011C,O,1,75,1066,580,6,574,142,24.7,143,24.9,71,12.4,131,22.8,19,3.3,29,5.1,39,6.8
01W112,01,Mitte,112,W,011C,O,1,75,1265,676,6,670,132,19.7,145,21.6,141,21.0,148,22.1,25,3.7,38,5.7,41,6.1
