age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,8.7,12.4,5.5,5.8,6.7,5.0,2.9,5.7,0.5
25 bis unter 35,11.2,14.1,8.6,4.5,5.3,3.8,6.7,8.8,4.8
35 bis unter 45,14.3,17.4,11.1,5.3,6.5,4.0,9.0,10.9,7.1
45 bis unter 60,19.9,25.4,14.4,6.4,7.7,4.9,13.5,17.7,9.5
60 bis unter 70,17.6,22.3,13.4,5.5,6.3,4.7,12.1,16.0,8.7
70 und älter,10.7,14.2,8.0,3.0,3.8,2.3,7.7,10.4,5.7
Insgesamt,14.8,19.0,11.0,5.1,6.2,4.0,9.7,12.8,7.0
