age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,9.3,11.8,6.8,3.5,4.8,2.3,5.8,7.0,4.5
25 bis unter 35,7.7,9.1,6.4,3.0,3.7,2.4,4.7,5.4,4.0
35 bis unter 45,8.2,9.2,7.3,3.4,4.5,2.4,4.8,4.7,4.9
45 bis unter 60,8.8,9.4,8.2,3.8,4.4,3.3,5.0,5.0,4.9
60 bis unter 70,9,9.1,8.9,3.4,3.9,3.0,5.6,5.2,5.9
70 und älter,10.6,10.8,10.4,3.9,4.3,3.6,6.7,6.5,6.8
Insgesamt,8.9,9.7,8.3,3.6,4.2,2.9,5.3,5.5,5.4
