age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6.6,4.0,5.7,9.3,9.0,3.9,6.4,12.9
25 bis unter 35,15.4,10.2,12.5,24.8,20.8,10.4,11.7,27.8
35 bis unter 45,13.8,12.0,11.6,16.1,18.5,12.2,11.4,19.1
45 bis unter 60,28,25.1,25.9,26.5,32.4,37.1,27.0,27.2
60 bis unter 70,14.7,14.8,17.3,14.5,12.1,17.5,15.1,7.6
70 und älter,21.4,33.9,27.0,8.8,7.2,18.8,28.3,5.4
Insgesamt,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
