age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6.7,4.7,6.8,9.6,8.8,3.4,7.8,12.5
25 bis unter 35,15.7,11,14.3,25.1,21.8,10.1,13.3,29.4
35 bis unter 45,14.3,12.1,13.4,16.7,18.6,12.1,11.2,23.7
45 bis unter 60,29.7,27.3,28.2,27.1,34.6,39.4,27.5,23.4
60 bis unter 70,14.4,14.3,16,13.8,10.9,17.5,15.9,7.5
70 und älter,19.1,30.5,21.3,7.8,5.2,17.5,24.3,3.5
Insgesamt,100,100,100,100,100,100,100,100
