age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5,3.7,5.2,4.2,7.5,2.5,4.7,10.6
25 bis unter 35,18.3,16.3,17.2,14.3,27.9,14.4,18.8,29.3
35 bis unter 45,16.4,15.6,15.4,12.5,25.3,16.6,19.1,18.6
45 bis unter 60,26.7,27.5,23.8,24.6,26.6,35.2,27.5,25.7
60 bis unter 70,13.8,14.6,12.1,17.3,6.9,16.9,14.3,8.9
70 und älter,19.7,22.2,26.3,27.2,5.8,14.4,15.6,6.9
Insgesamt,100,100,100,100,100,100,100,100
