age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6.8,4.3,6.6,8.1,8.8,3.4,7.8,13.9
25 bis unter 35,15.7,10.7,12.8,23.9,20.2,10.3,13.1,31.1
35 bis unter 45,14.3,12.5,12.2,17.5,18,12.3,12.5,19.8
45 bis unter 60,29.7,27.9,27.6,27,33.7,38.6,28.1,25.1
60 bis unter 70,14.5,14.2,16.9,14.4,12.1,17.5,14.1,6.7
70 und älter,19.1,30.3,23.9,9,7.2,17.8,24.4,3.3
Insgesamt,100,100,100,100,100,100,100,100
