feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Wahlberechtigte,x,x,x,x,x,x,x,x,x
Wählende,83.4,79.5,81.7,79.1,78,72.4,73.2,75.4988433166085,70.2
Briefwählende ²,12.3,17.1,21.9,25.6,23.5,28,29.6,35,47.6
Wahllokalwählende ²,87.7,82.9,78.1,74.4,76.5,72,70.4,65,52.4
