age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,69.1,68.5,69.8,59.1,58.3,59.8,10,10.2,10
21 bis unter 25,66.5,64.9,67.9,59.3,57.3,61.1,7.2,7.6,6.8
25 bis unter 30,71.1,68.2,74,68.3,67.5,68.9,2.8,0.7,5.1
30 bis unter 35,75.6,73.6,77.6,71.2,70.3,72.1,4.4,3.3,5.5
35 bis unter 40,76.9,74.2,79.7,72.6,72,73.3,4.3,2.2,6.4
40 bis unter 45,78.9,77,80.8,74.7,73.2,76.4,4.1,3.8,4.4
45 bis unter 50,80.2,78.2,82.4,73.6,72.4,74.9,6.6,5.8,7.5
50 bis unter 60,78.1,77.3,79,71.3,70,72.6,6.8,7.3,6.4
60 bis unter 70,79,79.4,78.6,75.6,75.7,75.4,3.4,3.7,3.2
70 und älter,71.3,76.3,67.9,72.4,76.9,69.3,-1.1,-0.6,-1.4
