age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,16.6,13.9,19.2,11.1,10.4,11.7,5.5,3.5,7.5
21 bis unter 25,20.6,16.9,24.3,15.6,13.9,17.3,5,3,7
25 bis unter 30,24.7,22.7,26.8,17.6,15.3,19.7,7.1,7.4,7.1
30 bis unter 35,25.9,24.6,27.2,18.2,16.7,19.7,7.7,7.9,7.5
35 bis unter 40,23.1,21.6,24.8,17.6,16.9,18.3,5.5,4.7,6.5
40 bis unter 45,21,21.8,20.2,17.8,17.8,17.7,3.2,4,2.5
45 bis unter 50,24.2,22.8,25.7,20.3,19.4,21.3,3.9,3.4,4.4
50 bis unter 60,27.9,26,29.7,23.2,21.7,24.7,4.7,4.3,5
60 bis unter 70,34.5,32.2,36.6,29.8,28.6,30.9,4.7,3.6,5.7
70 und älter,36.4,35.8,36.7,30.3,30.8,29.9,6.1,5,6.8
