age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,16,16.4,15.7,21.1,23.1,19.2,-5.1,-6.7,-3.5
25 bis unter 35,14.8,14.7,14.9,18.9,17.7,20.1,-4.1,-3,-5.2
35 bis unter 45,14.5,13.8,15.1,18.2,18.5,17.9,-3.7,-4.7,-2.8
45 bis unter 60,13.2,13.3,13.2,16.2,16.8,15.6,-3,-3.5,-2.4
60 bis unter 70,13,12.6,13.4,18.4,18.5,18.4,-5.4,-5.9,-5
70 und älter,19.2,19,19.3,23.4,23.8,23,-4.2,-4.8,-3.7
Insgesamt,14.9,14.6,15.2,19,19,18.9,-4.1,-4.4,-3.7
