age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,19.0,16.1,21.9,17.3,12.7,21.5,1.7,3.4,0.4
25 bis unter 35,19.7,17.0,22.3,21.0,17.5,24.4,-1.3,-0.5,-2.1
35 bis unter 45,19.1,16.0,22.1,20.0,17.9,22.2,-0.9,-1.9,-0.1
45 bis unter 60,16.4,14.3,18.5,19.4,17.3,21.4,-3.0,-3.0,-2.9
60 bis unter 70,10.9,9.3,12.3,10.2,9.6,10.7,0.7,-0.3,1.6
70 und älter,3.8,3.4,4.1,3.6,3.6,3.6,0.2,-0.2,0.5
Insgesamt,13.9,12.3,15.4,14.9,13.5,16.3,-1.0,-1.2,-0.9
