electoral_district_id,electoral_district_name,eligible_voters,voters,valid_first_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_fdp,others
75.0,Berlin-Mitte,204085,141574.0,139292.0,33265.0,39360.0,23200.0,25687.0,4212.0,2088.0,6017.0
76.0,Berlin-Pankow,235344,175061.0,172647.0,41295.0,36180.0,48926.0,25442.0,7088.0,1581.0,6275.0
77.0,Berlin-Reinickendorf,182934,133484.0,130881.0,58845.0,38593.0,8508.0,8790.0,5852.0,2605.0,4437.0
78.0,"Berlin-Spandau –
Charlottenburg Nord",187363,130485.0,127763.0,50071.0,47790.0,9199.0,5942.0,5543.0,1788.0,3400.0
79.0,Berlin-Steglitz-Zehlendorf,220007,175539.0,172980.0,73460.0,50540.0,9102.0,20416.0,7321.0,4605.0,3320.0
80.0,Berlin-Charlottenburg-Wilmersdorf,197797,153420.0,151334.0,56079.0,47619.0,9368.0,22176.0,5649.0,3801.0,2985.0
81.0,Berlin-Tempelhof-Schöneberg,235259,177205.0,174159.0,60926.0,45659.0,12801.0,35461.0,6391.0,2585.0,5103.0
82.0,Berlin-Neukölln,205635,140825.0,137723.0,42092.0,44528.0,16144.0,16126.0,4140.0,1861.0,6738.0
83.0,"Berlin-Friedrichshain-Kreuzberg –
Prenzlauer Berg Ost",226240,168048.0,165731.0,22723.0,29799.0,28441.0,66056.0,3325.0,1647.0,7423.0
84.0,Berlin-Treptow - Köpenick,201629,148406.0,146219.0,33036.0,26093.0,61661.0,7344.0,5788.0,1429.0,6663.0
85.0,Berlin-Marzahn - Hellersdorf,203968,132817.0,130739.0,33552.0,22341.0,50866.0,4071.0,6347.0,938.0,8956.0
86.0,Berlin-Lichtenberg,205457,138551.0,136292.0,30988.0,26636.0,54932.0,5748.0,5827.0,939.0,6305.0
