age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,17.6,16.9,18.2,10.9,9.9,11.9,6.7,7.0,6.3
25 bis unter 35,19.4,19.1,19.7,10.9,9.6,12.2,8.5,9.5,7.5
35 bis unter 45,13.3,13.9,12.7,8.7,8.7,8.6,4.6,5.2,4.1
45 bis unter 60,10.7,10.9,10.5,8.6,9.1,8.2,2.1,1.8,2.3
60 bis unter 70,10.7,11.4,10.0,7.8,9.3,6.4,2.9,2.1,3.6
70 und älter,4.1,4.9,3.5,3.7,4.6,3.1,0.4,0.3,0.4
Insgesamt,11.4,12.0,11.0,8.0,8.4,7.6,3.4,3.6,3.4
