age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,14.4,14.0,14.9,15.6,17.5,13.9,-1.2,-3.5,1.0
25 bis unter 35,12.4,12.2,12.5,14.2,17.1,11.5,-1.8,-4.9,1.0
35 bis unter 45,9.3,8.8,9.7,10.0,11.1,8.7,-0.7,-2.3,1.0
45 bis unter 60,6.5,5.2,7.8,6.5,7.1,5.8,0.0,-1.9,2.0
60 bis unter 70,3.9,3.1,4.5,3.5,4.0,3.0,0.4,-0.9,1.5
70 und älter,1.9,1.3,2.4,2.0,2.2,1.9,-0.1,-0.9,0.5
Insgesamt,7.1,6.5,7.6,7.7,8.9,6.5,-0.6,-2.4,1.1
