age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,13.8,10.2,16.9,13.3,11.1,15.2,0.5,-0.9,1.7
25 bis unter 35,15.3,13.0,17.3,14.0,10.8,17.1,1.3,2.2,0.2
35 bis unter 45,15.7,13.9,17.5,17.8,15.8,20.0,-2.1,-1.9,-2.5
45 bis unter 60,11,10.6,11.3,8.8,8.2,9.4,2.2,2.4,1.9
60 bis unter 70,5,4.3,5.6,3.6,3.1,4.1,1.4,1.2,1.5
70 und älter,2.9,2.3,3.3,2.5,2.3,2.7,0.4,0.0,0.6
Insgesamt,10.4,9.4,11.3,9.9,8.8,11.0,0.5,0.6,0.3
