electoral_district_id,electoral_district_name,eligible_voters,voters,valid_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_fdp,others
75,Berlin-Mitte,204769,128151,126106,17076,27172,22154,26901,12480,8333,9103
76,Berlin-Pankow,234617,164358,161970,21282,32763,34189,27641,23431,7001,12482
77,Berlin-Reinickendorf,181658,121371,118912,33240,26124,7246,12627,19169,10502,8710
78,Berlin-Spandau –Charlottenburg Nord,184491,116453,113927,27128,30860,7936,10684,18764,8710,8212
79,Berlin-Steglitz-Zehlendorf,218473,162844,160803,41065,34737,11152,26976,17677,19051,7903
80,Berlin-Charlottenburg-Wilmersdorf,195855,139257,137426,28252,31198,12712,25917,13415,17447,6717
81,Berlin-Tempelhof-Schöneberg,233874,161154,158582,31622,39427,15348,29615,18097,12465,9530
82,Berlin-Neukölln,202453,128007,125446,22356,29243,17017,20308,17294,7209,9592
83,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,221531,152067,150156,12490,27907,35023,40282,11117,6183,12768
84,Berlin-Treptow-Köpenick,202428,137914,135575,17502,27720,30667,12278,27736,5494,11948
85,Berlin-Marzahn-Hellersdorf,200519,122207,119889,20761,20329,28216,5346,28310,3411,11943
86,Berlin-Lichtenberg,204711,128693,126377,15223,24950,34041,9749,24002,3694,12485
