age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,-0.3,0.3,-0.9,0.1,0.9,-0.5,-0.5,0,-1.1
25 bis unter 35,-0.4,-0.2,-0.5,-0.5,-0.2,-0.6,-0.2,0,-0.5
35 bis unter 45,-0.3,-0.3,-0.3,-0.5,-0.7,-0.3,-0.2,-0.1,-0.2
45 bis unter 60,-0.3,-0.4,-0.2,-0.5,-0.5,-0.4,-0.2,-0.3,0.1
60 bis unter 70 ,-0.1,0.1,-0.1,0,0.4,-0.3,-0.1,0,-0.1
70 und älter ,-0.1,-0.4,0,0.4,0,0.8,-0.5,-0.5,-0.4
Insgesamt,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2
