age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6,4.5,6.5,6.3,8.1,3,7.8,11.2
25 bis unter 35,16.5,12.6,15.3,18.8,23.9,11.8,15,30.3
35 bis unter 45,16.1,13.8,14.7,16,21.7,14.9,14.8,25.7
45 bis unter 60,29.5,27.7,27.7,26.4,33.1,39.6,28,22.9
60 bis unter 70,13.9,14.5,14.6,15.6,8.7,16.1,14.1,6.8
70 und älter,17.9,26.9,21.3,16.9,4.5,14.5,20.3,3.1
Insgesamt,100,100,100,100,100,100,100,100
