age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,1.8,1.6,2,1.6,1,2.1,1.9,1.9,2
25 bis unter 35,1.5,1.4,1.6,1.5,1.3,1.6,1.5,1.4,1.7
35 bis unter 45,1.3,1.5,1.1,1.3,1.5,1.1,1.3,1.5,1.1
45 bis unter 60,1.6,1.6,1.6,1.5,1.3,1.7,1.7,1.8,1.5
60 bis unter 70,1.8,1.7,1.8,1.6,1.2,1.9,1.9,2,1.8
70 und älter,1.9,2,1.9,1.4,1.4,1.3,2.3,2.3,2.2
Insgesamt,1.6,1.6,1.6,1.4,1.3,1.6,1.8,1.8,1.7
