feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Wahlberechtigte,x,x,x,x,x,x,x,x,x
Wählende,76,77.2,80.1,75.5,76.5,68.9,71.4,75.7228796533273,68.5
Briefwählende²,4,10.5,15.6,20.5,19.9,24.3,25.9,31.2,46.2
Wahllokalwählende²,96,89.5,84.4,79.5,80.1,75.7,74.1,68.8,53.8
