age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,14.2,19.6,17.1,16.7,6.5,13.3,12.6
25 bis unter 35,100,15.1,16.3,21.8,16.5,8.6,9.6,12.1
35 bis unter 45,100,19.4,17.1,17.6,16.1,11.3,10.0,8.5
45 bis unter 60,100,20.8,18.6,13.0,14.5,17.0,10.9,5.2
60 bis unter 70,100,21.7,23.4,14.3,10.7,15.8,11.2,2.8
70 und älter,100,35.2,25.2,6.8,4.8,12.2,14.7,1.1
Insgesamt,100,22.1,20.0,14.3,12.8,13.1,11.5,6.1
