age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5,3.5,5.2,4.6,8.8,2.6,8.2,7.8
25 bis unter 35,18.3,15.9,18,14.2,29.9,15,19.2,35.1
35 bis unter 45,16.5,14.6,16.4,13.3,27,17,16.7,19.2
45 bis unter 60,26.7,27.6,23.2,25.5,24.8,35.5,28.3,26.2
60 bis unter 70,13.8,14.6,12.2,17.6,5.1,16.3,12.5,7.4
70 und älter,19.7,23.8,25,24.8,4.5,13.6,15.1,4.4
Insgesamt,100,100,100,100,100,100,100,100
