age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6,3.7,4.8,10.5,9.2,4.8,4.9,12.0
25 bis unter 35,15,9.8,12.2,25.7,21.2,10.6,10.3,25.0
35 bis unter 45,13,11.7,11.0,14.5,18.9,12.1,10.3,18.6
45 bis unter 60,26,23.1,24.4,26.0,31.3,34.6,26.0,28.9
60 bis unter 70,15,15.2,17.8,14.6,12.1,17.5,16.1,8.4
70 und älter,23,36.6,29.8,8.6,7.2,20.3,32.4,7.2
Insgesamt,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
