age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,17.3,22.6,21.2,14.6,7.3,7.4,9.6
25 bis unter 35,100,17.3,19.3,22.9,15.6,10.4,5.1,9.4
35 bis unter 45,100,19.5,19,20.1,14.5,13.5,5.2,8.2
45 bis unter 60,100,21.4,19.6,18,12.1,19.5,5.4,4
60 bis unter 70,100,23.6,21.9,22.6,6.8,16.8,5.7,2.5
70 und älter,100,34.2,24.9,19,2.7,11.8,6.4,0.9
Insgesamt,100,22.8,20.9,20.2,10.8,14.6,5.7,5.1
