age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,15.2,14.2,16.2,22.0,20.5,23.5,-6.8,-6.3,-7.3
25 bis unter 35,16.6,15.1,18.0,21.5,20.1,23.0,-4.9,-5.0,-5.0
35 bis unter 45,21.9,19.4,24.4,27.7,25.7,29.8,-5.8,-6.3,-5.4
45 bis unter 60,22.5,20.8,24.3,27.0,25.3,28.7,-4.5,-4.5,-4.4
60 bis unter 70,25.2,21.7,28.3,34.8,31.2,38.0,-9.6,-9.5,-9.7
70 und älter,39.9,35.2,43.4,51.0,47.1,53.7,-11.1,-11.9,-10.3
Insgesamt,25.2,22.1,27.9,32.0,29.0,34.7,-6.8,-6.9,-6.8
