age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,9.6,11.3,8.1,15.5,16.5,14.6,-5.9,-5.2,-6.5
25 bis unter 35,10.1,10.2,10.0,13.6,16.5,10.9,-3.5,-6.3,-0.9
35 bis unter 45,7.3,8.6,6.1,9.6,11.8,7.2,-2.3,-3.2,-1.1
45 bis unter 60,4.7,4.4,5.1,6.9,7.8,6.1,-2.2,-3.4,-1.0
60 bis unter 70,2.7,2.6,2.8,4.0,4.7,3.4,-1.3,-2.1,-0.6
70 und älter,1.1,1.0,1.2,1.8,2.3,1.4,-0.7,-1.3,-0.2
Insgesamt,5.5,5.7,5.2,8.0,9.6,6.5,-2.5,-3.9,-1.3
