age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,1.3,1.6,1.0,1.8,2.1,1.6,1.0,1.4,0.6
25 bis unter 35,0.9,1.0,0.8,0.9,0.9,0.9,0.9,1.1,0.8
35 bis unter 45,0.8,0.9,0.8,0.8,0.7,0.8,0.9,1.0,0.8
45 bis unter 60,1.1,1.0,1.2,0.9,0.7,1.0,1.2,1.1,1.3
60 bis unter 70 ,1.5,1.3,1.7,1.5,1.2,1.7,1.5,1.3,1.6
70 und älter ,1.7,1.4,2.0,1.6,1.3,1.9,1.8,1.4,2.1
Insgesamt,1.2,1.1,1.3,1.1,1.0,1.3,1.3,1.2,1.3
