electoral_district_id,electoral_district_name,total,below_6,below_6_percentage,between_6_and_18,between_6_and_18_percentage,between_18_and_65,between_18_and_65_percentage,above_65,above_65_percentage,foreigners,foreigners_percentage
75,Berlin-Mitte,371407,22533,6.1,35086,9.4,265660,71.5,48128,13,120931,32.6
76,Berlin-Pankow,324600,22506,6.9,34037,10.5,219483,67.6,48574,15,36005,11.1
77,Berlin-Reinickendorf,261919,15033,5.7,29042,11.1,155564,59.4,62280,23.8,42526,16.2
78,Berlin-Spandau –Charlottenburg Nord,274802,16184,5.9,29809,10.8,169130,61.5,59679,21.7,52385,19.1
79,Berlin-Steglitz-Zehlendorf,304086,15426,5.1,32005,10.5,178718,58.8,77937,25.6,41163,13.5
80,Berlin-Charlottenburg-Wilmersdorf,301389,14032,4.7,25088,8.3,191763,63.6,70506,23.4,72000,23.9
81,Berlin-Tempelhof-Schöneberg,346108,18799,5.4,33372,9.6,222125,64.2,71812,20.7,66014,19.1
82,Berlin-Neukölln,327522,19905,6.1,32777,10,217220,66.3,57620,17.6,79896,24.4
83,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,354129,22589,6.4,31818,9,260779,73.6,38943,11,83610,23.6
84,Berlin-Treptow-Köpenick,259524,15028,5.8,23913,9.2,161335,62.2,59248,22.8,19981,7.7
85,Berlin-Marzahn-Hellersdorf,262015,16491,6.3,27306,10.4,168557,64.3,49661,19,21675,8.3
86,Berlin-Lichtenberg,283121,18118,6.4,26117,9.2,183342,64.8,55544,19.6,40555,14.3
