electoral_district_id,electoral_district_name,eligible_voters,voters,valid_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_fdp,others
75.0,Berlin-Mitte,207497,95403.0,94071.0,14303.0,21685.0,15990.0,23273.0,5559.0,2921.0,10340.0
76.0,Berlin-Pankow,236825,110924.0,109546.0,15273.0,24309.0,24786.0,23751.0,7726.0,2343.0,11358.0
77.0,Berlin-Reinickendorf,183548,81729.0,80331.0,25482.0,22321.0,4934.0,10395.0,8050.0,2783.0,6366.0
78.0,Berlin-Spandau –Charlottenburg Nord,187820,75460.0,74124.0,21271.0,22123.0,5488.0,8952.0,7330.0,2106.0,6854.0
79.0,Berlin-Steglitz-Zehlendorf,220912,126125.0,124650.0,35621.0,32672.0,7503.0,23784.0,10614.0,5976.0,8480.0
80.0,Berlin-Charlottenburg-Wilmersdorf,198712,109468.0,108156.0,25715.0,30087.0,8652.0,22616.0,8293.0,5294.0,7499.0
81.0,Berlin-Tempelhof-Schöneberg,236788,126917.0,124900.0,29321.0,32167.0,11676.0,27734.0,8926.0,3680.0,11396.0
82.0,Berlin-Neukölln,207801,96557.0,94334.0,19630.0,22052.0,13016.0,19688.0,7053.0,1655.0,11240.0
83.0,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,227762,121360.0,119698.0,10054.0,22912.0,26593.0,38464.0,4595.0,2179.0,14901.0
84.0,Berlin-Treptow-Köpenick,202220,89058.0,87520.0,13749.0,19276.0,23588.0,10316.0,8801.0,1219.0,10571.0
85.0,Berlin-Marzahn-Hellersdorf,203654,68052.0,66872.0,11373.0,13710.0,20951.0,4336.0,7824.0,878.0,7800.0
86.0,Berlin-Lichtenberg,206219,76779.0,75464.0,10482.0,15380.0,25167.0,7689.0,6988.0,919.0,8839.0
