feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Gültige Zweitstimmen,722780,743376,770629,742361,763222,705096,735543,783633,695676
CDU,175555,144870,113120,118319,103956,118424,171858,151288,95739
DIE LINKE²,179279,258160,230862,182268,225150,238238,216623,204400,113834
SPD,226237,245797,270680,288738,266623,127857,155409,118241,142565
GRÜNE³,63562,50945,61017,78301,83074,100259,73107,81810,137075
AfD⁴,x,x,x,x,x,x,37174,116022,87561
FDP,56009,14126,16160,33892,40570,54285,16324,49917,46146
Sonstige,22138,29478,78790,40843,43849,66033,102222,61955,72756
