age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,68.8,67.3,70.2,60.1,57.7,62.4,8.7,9.6,7.8
21 bis unter 25,66.4,65.1,67.7,60.6,58.7,62.5,5.8,6.4,5.2
25 bis unter 30,69.6,68.0,71.2,66.1,65.4,66.7,3.5,2.6,4.5
30 bis unter 35,74.9,73.6,76.2,69.4,67.9,70.9,5.5,5.7,5.3
35 bis unter 40,76.5,73.9,79.4,71.6,70.1,73.2,4.9,3.8,6.2
40 bis unter 45,75.9,75.6,76.2,73.3,72.8,73.7,2.6,2.8,2.5
45 bis unter 50,80.1,78.0,82.3,76.1,74.9,77.3,4.0,3.1,5.0
50 bis unter 60,77.8,78.1,77.5,75.2,74.9,75.6,2.6,3.2,1.9
60 bis unter 70,77.8,77.1,78.5,79.2,79.3,79.2,-1.4,-2.2,-0.7
70 und älter,75.2,77.7,73.5,75.7,79.6,73.0,-0.5,-1.9,0.5
