age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,14.6,15.5,22.7,13.8,8.7,7,17.7
25 bis unter 35,100,17.1,14.3,21.8,15.3,11.2,7,13.2
35 bis unter 45,100,18.5,14.2,20.4,15.7,14.3,7.4,9.6
45 bis unter 60,100,19.5,12.9,23.3,11,19.9,6.6,6.8
60 bis unter 70,100,20.6,13.5,32.7,5,17.6,5.9,4.6
70 und älter,100,22.3,21.2,36.2,2.9,10.7,4.4,2.4
Insgesamt,100,19.3,15.1,26.1,10.4,14.8,6.4,7.9
