age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,5.9,7.3,4.6,3.3,3.9,2.7,2.6,3.4,1.9
25 bis unter 35,8.4,10.4,6.6,3.5,4.0,3.1,4.9,6.4,3.5
35 bis unter 45,10.8,13.5,8.2,3.8,4.6,3.0,7.0,8.9,5.2
45 bis unter 60,15.5,19.5,11.4,4.6,5.4,3.9,10.9,14.1,7.5
60 bis unter 70,13.2,16.8,10.0,4.1,4.8,3.4,9.1,12.0,6.6
70 und älter,8.8,11.8,6.5,2.7,3.6,2.1,6.1,8.2,4.4
Insgesamt,11.4,14.6,8.5,3.8,4.5,3.1,7.6,10.1,5.4
