age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5,3.7,5.1,4.3,6.5,2.9,5.5,11.1
25 bis unter 35,18,16,17.1,15,26.3,13.6,19.8,30.1
35 bis unter 45,17.5,16.8,16.4,13.6,26.3,16.9,20.4,21.2
45 bis unter 60,28,28.3,23.9,24.9,29.4,37.5,29.1,24.1
60 bis unter 70,13.6,14.5,12.2,17,6.5,16.1,12.6,8
70 und älter,18,20.8,25.3,25,5,13,12.6,5.5
Insgesamt,100,100,100,100,100,100,100,100
