age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,15.5,15.4,15.5,21.4,23.3,19.8,-5.9,-7.9,-4.3
25 bis unter 35,14.3,14.5,14.2,21.1,21.0,21.2,-6.8,-6.5,-7.0
35 bis unter 45,14.2,14.1,14.2,19.4,19.7,19.1,-5.2,-5.6,-4.9
45 bis unter 60,12.9,12.4,13.5,18.2,18.8,17.7,-5.3,-6.4,-4.2
60 bis unter 70,13.5,13.9,13.3,21.9,21.8,22.1,-8.4,-7.9,-8.8
70 und älter,21.2,22.4,20.2,26.4,27.5,25.5,-5.2,-5.1,-5.3
Insgesamt,15.1,15.1,15.1,21.1,21.4,20.9,-6.0,-6.3,-5.8
